customer_id,recency,frequency,profit,r,f,m,rfm_score,customer_profile,address,postcode,state,country,property_valuation,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,owns_car,tenure,age,age_group
15,35.0,6,1728.3900000000003,3,2,1,321,Gold,9861 New Castle Avenue,2428,NSW,Australia,9,Male,91,2000-07-13,Manufacturing,Mass Customer,No,1.0,23.2033684047934,20-34
19,102.0,3,2951.79,1,1,3,113,Bronze,59 Spaight Circle,2233,NSW,Australia,9,Female,76,2001-04-15,Manufacturing,High Net Worth,No,1.0,22.447706070864573,20-34
20,31.0,4,3608.2799999999997,3,1,3,313,Gold,032 Bartelt Crossing,2444,NSW,Australia,8,Male,72,1980-08-13,Manufacturing,Mass Customer,No,11.0,43.11890397362781,35-49
21,6.0,5,4229.41,4,2,4,424,Platinum,18 Jenna Center,2650,NSW,Australia,7,Male,74,1980-09-20,Manufacturing,Affluent Customer,Yes,16.0,43.01486350736224,35-49
24,17.0,8,3689.35,4,4,3,443,Platinum,3 Cordelia Plaza,2153,NSW,Australia,10,Female,55,1977-12-03,Argiculture,Mass Customer,Yes,15.0,45.813004468504495,35-49
25,5.0,12,5333.66,4,4,4,444,Platinum,28 5th Center,4413,QLD,Australia,3,Male,72,1976-12-02,Financial Services,Mass Customer,Yes,21.0,46.81507843306229,35-49
26,113.0,3,268.2399999999999,1,1,1,111,Bronze,52 Carey Alley,4740,QLD,Australia,5,Female,12,1978-06-10,Financial Services,Mass Customer,Yes,16.0,45.29554004418367,35-49
27,143.0,7,3274.25,1,3,3,133,Bronze,96 Texas Plaza,3218,VIC,Australia,7,Male,37,1978-09-25,Health,Mass Customer,Yes,12.0,45.0025839944359,35-49
28,83.0,6,3366.5600000000004,2,2,3,223,Silver,48 Eagan Avenue,4868,QLD,Australia,4,Male,5,1973-09-30,Health,Affluent Customer,Yes,21.0,49.98831265416197,50-64
29,22.0,9,6175.299999999999,3,4,4,344,Gold,9 Buell Park,4116,QLD,Australia,7,Female,62,1968-06-22,Manufacturing,Mass Customer,No,19.0,55.26152154962184,50-64
30,11.0,3,2633.95,4,1,2,412,Platinum,02663 Buell Parkway,2519,NSW,Australia,11,Male,18,1961-10-18,IT,Affluent Customer,Yes,6.0,61.93927673966681,50-64
31,89.0,4,426.10999999999996,1,1,1,111,Bronze,2294 Pleasure Place,2135,NSW,Australia,12,Female,3,1962-11-24,Telecommunications,High Net Worth,Yes,14.0,60.838638122857425,50-64
32,138.0,7,2823.12,1,3,2,132,Bronze,2951 Petterle Place,2756,NSW,Australia,9,Female,17,1995-04-20,Manufacturing,Affluent Customer,No,4.0,28.43550869514844,20-34
35,92.0,4,3706.5099999999998,1,1,3,113,Bronze,34 Russell Plaza,4127,QLD,Australia,6,Female,40,1963-09-28,Health,High Net Worth,Yes,16.0,59.995362764704964,50-64
37,7.0,9,6338.49,4,4,4,444,Platinum,54 Sage Plaza,4726,QLD,Australia,1,Female,46,1985-12-22,Health,High Net Worth,No,16.0,37.760819960951295,35-49
38,50.0,4,2025.34,2,1,2,212,Silver,90 Lawn Parkway,4805,QLD,Australia,4,Female,37,1955-10-29,Financial Services,Affluent Customer,No,20.0,67.91065192190874,65-79
39,34.0,12,6085.17,3,4,4,344,Gold,38726 Ilene Crossing,2212,NSW,Australia,10,Male,5,1979-04-16,Entertainment,Mass Customer,No,22.0,44.44678887201723,35-49
40,14.0,6,4552.099999999999,4,2,4,424,Platinum,3496 Brown Drive,2207,NSW,Australia,8,Female,91,1981-10-27,Manufacturing,Affluent Customer,No,14.0,41.914224890552866,35-49
41,29.0,9,4698.89,3,4,4,344,Gold,7188 Cody Way,3350,VIC,Australia,9,Male,64,1976-04-14,Health,Mass Customer,No,16.0,47.450272858683626,35-49
42,111.0,4,427.03999999999996,1,1,1,111,Bronze,1 Claremont Park,3931,VIC,Australia,10,Female,24,1977-03-28,Manufacturing,Mass Customer,No,18.0,46.49748122025162,35-49
43,61.0,9,3619.95,2,4,3,243,Silver,60 Eagan Circle,4018,QLD,Australia,8,Female,38,1983-03-01,Retail,Mass Customer,No,5.0,40.572650457128496,35-49
44,35.0,7,4768.28,3,3,4,334,Gold,89314 Eagle Crest Center,4670,QLD,Australia,2,Male,63,1981-10-18,Entertainment,Affluent Customer,Yes,17.0,41.93886605361576,35-49
45,43.0,3,1048.1499999999999,3,1,1,311,Silver,2028 Lakewood Place,2480,NSW,Australia,3,Male,64,1975-09-23,Financial Services,Mass Customer,No,8.0,48.00880588810928,35-49
47,35.0,7,4332.19,3,3,4,334,Gold,543 Killdeer Park,2322,NSW,Australia,4,Male,51,1992-10-22,Health,Affluent Customer,No,2.0,30.92700407150798,20-34
50,26.0,8,5783.66,3,4,4,344,Gold,957 Veith Junction,2047,NSW,Australia,10,Male,38,1980-10-01,Manufacturing,Mass Customer,Yes,16.0,42.98474653028537,35-49
51,55.0,8,4855.400000000001,2,4,4,244,Silver,4853 Gulseth Avenue,4503,QLD,Australia,5,Male,68,1959-12-05,Retail,Mass Customer,No,18.0,63.80926722543996,50-64
52,4.0,7,5417.83,4,3,4,434,Platinum,9 Michigan Terrace,2145,NSW,Australia,8,Male,57,1988-06-22,Financial Services,Mass Customer,Yes,13.0,35.26111086357079,35-49
53,7.0,5,2950.0699999999997,4,2,3,423,Platinum,62 Steensland Road,4350,QLD,Australia,3,Female,22,1954-04-18,Financial Services,Mass Customer,No,16.0,69.44114193881532,65-79
54,67.0,7,4098.21,2,3,3,233,Silver,6 Homewood Avenue,2142,NSW,Australia,8,Female,2,1966-07-24,Property,Mass Customer,Yes,18.0,57.175318547506805,50-64
55,46.0,8,3220.86,2,4,3,243,Silver,15 Almo Lane,2029,NSW,Australia,10,Male,48,1956-09-24,Financial Services,Affluent Customer,Yes,7.0,67.00440470259555,65-79
56,2.0,7,1275.2399999999998,4,3,1,431,Platinum,690 Glacier Hill Circle,2127,NSW,Australia,10,Male,44,1996-07-04,Property,Mass Customer,Yes,4.0,27.228091705066507,20-34
58,20.0,8,3501.37,3,4,3,343,Gold,18 Elgar Park,2166,NSW,Australia,9,Female,26,1967-07-04,Financial Services,Affluent Customer,Yes,17.0,56.23074063009577,50-64
60,200.0,2,647.22,1,1,1,111,Bronze,39 3rd Drive,2026,NSW,Australia,10,Female,18,1970-02-04,Manufacturing,Mass Customer,No,10.0,53.64068060148464,50-64
61,47.0,7,4254.24,2,3,4,234,Silver,44516 Katie Parkway,2765,NSW,Australia,7,Female,47,1959-11-29,Property,High Net Worth,No,13.0,63.82569466748189,50-64
62,5.0,6,4920.88,4,2,4,424,Platinum,41 Schurz Center,2749,NSW,Australia,8,Female,38,1979-07-06,IT,Mass Customer,Yes,22.0,44.22501840445116,35-49
63,68.0,3,2190.05,2,1,2,212,Silver,68150 Boyd Road,2745,NSW,Australia,9,Female,58,1965-07-03,Retail,Mass Customer,Yes,16.0,58.23215065220437,50-64
64,3.0,5,546.6799999999998,4,2,1,421,Platinum,11474 Westend Hill,3752,VIC,Australia,8,Male,73,1978-03-25,IT,High Net Worth,No,4.0,45.50635888372179,35-49
65,136.0,6,4441.61,1,2,4,124,Bronze,308 Jana Crossing,2153,NSW,Australia,10,Male,21,1976-04-01,Financial Services,Affluent Customer,Yes,15.0,47.485865649774475,35-49
66,43.0,5,4549.2,3,2,4,324,Gold,163 Straubel Trail,2217,NSW,Australia,10,Male,46,2002-03-11,Argiculture,High Net Worth,No,1.0,21.544196758558368,20-34
67,116.0,5,1203.2899999999997,1,2,1,121,Bronze,68294 Clarendon Crossing,2230,NSW,Australia,10,Male,67,1960-06-14,Retail,Mass Customer,No,18.0,63.28358908009817,50-64
70,4.0,5,2736.9,4,2,2,422,Platinum,9 Bonner Road,2070,NSW,Australia,12,Male,78,1993-02-27,Financial Services,Affluent Customer,No,8.0,30.57655197461345,20-34
71,131.0,1,155.6500000000001,1,1,1,111,Bronze,07041 Briar Crest Lane,2213,NSW,Australia,10,Male,30,1985-01-27,Argiculture,Affluent Customer,Yes,12.0,38.66159136625052,35-49
72,22.0,5,2559.7799999999997,3,2,2,322,Gold,29466 Hanson Pass,4208,QLD,Australia,6,Male,93,1972-02-13,Manufacturing,Affluent Customer,Yes,16.0,51.61736732332013,50-64
75,60.0,8,4979.94,2,4,4,244,Silver,4763 Merchant Avenue,2756,NSW,Australia,8,Female,28,1978-07-15,Property,Mass Customer,No,19.0,45.19971329893907,35-49
76,1.0,8,2868.16,4,4,3,443,Platinum,439 Ridgeway Court,4213,QLD,Australia,9,Female,20,1978-01-23,Retail,High Net Worth,Yes,18.0,45.67337121114809,35-49
77,101.0,3,1657.5800000000002,1,1,1,111,Bronze,2 Clyde Gallagher Lane,4170,QLD,Australia,5,Male,79,1989-09-12,Financial Services,Mass Customer,No,7.0,34.03726643144692,35-49
78,211.0,2,82.25999999999999,1,1,1,111,Bronze,97455 Loeprich Lane,2153,NSW,Australia,9,Male,37,1985-03-12,Argiculture,Affluent Customer,No,8.0,38.54112345794302,35-49
79,43.0,6,2597.46,3,2,2,322,Gold,9527 Ridgeway Street,2073,NSW,Australia,10,Female,76,1968-10-02,Manufacturing,Mass Customer,No,18.0,54.98225503490901,50-64
80,28.0,10,5988.86,3,4,4,344,Gold,7 Jackson Point,3561,VIC,Australia,1,Male,11,1978-04-24,Entertainment,Mass Customer,No,13.0,45.42422167351213,35-49
81,4.0,4,3249.02,4,1,3,413,Platinum,74 Anniversary Junction,2330,NSW,Australia,6,Female,58,1986-09-04,Health,High Net Worth,No,13.0,37.05991576716224,35-49
82,78.0,5,2924.37,2,2,3,223,Silver,2083 Spaight Court,3977,VIC,Australia,8,Female,93,1965-06-28,Property,High Net Worth,No,19.0,58.24584018723931,50-64
83,80.0,6,1798.2,2,2,1,221,Silver,2796 Caliangt Circle,2204,NSW,Australia,12,Male,97,1967-02-26,IT,Mass Customer,Yes,18.0,56.581192726990295,50-64
86,0.0,9,2360.09,4,4,2,442,Platinum,289 Haas Street,2075,NSW,Australia,11,Male,75,1989-03-04,Health,High Net Worth,Yes,7.0,34.56294457678872,35-49
87,18.0,9,3740.7599999999998,3,4,3,343,Gold,4423 Bartelt Parkway,2038,NSW,Australia,12,Male,78,1974-04-23,Financial Services,Mass Customer,No,8.0,49.42704171772933,50-64
88,74.0,6,2534.3300000000004,2,2,2,222,Silver,5 Grim Center,2069,NSW,Australia,12,Female,41,1966-02-03,Property,High Net Worth,Yes,7.0,57.64350064570184,50-64
89,4.0,9,5779.650000000001,4,4,4,444,Platinum,73042 Roth Crossing,2100,NSW,Australia,11,Male,74,1967-01-22,Health,Mass Customer,Yes,14.0,56.677019472234896,50-64
90,30.0,7,2990.73,3,3,3,333,Gold,171 Fordem Junction,2233,NSW,Australia,10,Male,76,1984-11-12,Manufacturing,Mass Customer,No,11.0,38.869672298781644,35-49
91,9.0,8,5242.410000000001,4,4,4,444,Platinum,2640 Manley Point,2166,NSW,Australia,9,Male,69,1955-02-24,Financial Services,Affluent Customer,Yes,17.0,68.5869149526349,65-79
92,34.0,3,2967.4399999999996,3,1,3,313,Gold,3 Hintze Pass,3133,VIC,Australia,10,Female,98,1980-09-11,Health,Mass Customer,No,12.0,43.03950467042514,35-49
93,79.0,3,2976.41,2,1,3,213,Silver,2 Mcbride Road,3070,VIC,Australia,10,Male,63,1976-07-16,Retail,Mass Customer,Yes,10.0,47.19564750703369,35-49
94,33.0,7,4902.21,3,3,4,334,Gold,67234 Transport Hill,2777,NSW,Australia,7,Male,33,1974-08-07,Manufacturing,Mass Customer,No,21.0,49.13682357498855,50-64
95,38.0,4,3050.8099999999995,3,1,3,313,Gold,72 Dorton Crossing,3133,VIC,Australia,10,Female,67,1960-12-25,Manufacturing,Affluent Customer,Yes,8.0,62.7524351207424,50-64
96,70.0,4,1135.25,2,1,1,211,Bronze,6 Heffernan Center,2125,NSW,Australia,11,Male,33,1968-08-31,Manufacturing,Mass Customer,No,15.0,55.069868059132645,50-64
97,102.0,8,4911.21,1,4,4,144,Bronze,6088 Roxbury Hill,2766,NSW,Australia,8,Male,16,1979-07-27,Financial Services,Mass Customer,Yes,10.0,44.16752235730441,35-49
98,122.0,5,1930.5600000000002,1,2,2,122,Bronze,105 Shelley Alley,2209,NSW,Australia,10,Female,19,1956-03-17,Health,Mass Customer,No,7.0,67.52734494093035,65-79
99,2.0,9,4557.65,4,4,4,444,Platinum,079 Merry Park,2160,NSW,Australia,9,Male,97,1998-06-13,Financial Services,Mass Customer,No,3.0,25.286915637111655,20-34
100,11.0,2,877.4,4,1,1,411,Gold,8722 Summit Alley,2065,NSW,Australia,12,Male,80,1968-05-11,Financial Services,Mass Customer,Yes,4.0,55.37651364391535,50-64
101,8.0,4,2589.89,4,1,2,412,Platinum,9554 Artisan Pass,2150,NSW,Australia,10,Male,83,1975-12-29,Manufacturing,High Net Worth,No,11.0,47.7432289084314,35-49
102,42.0,7,2587.0099999999998,3,3,2,332,Gold,55850 Butterfield Road,2168,NSW,Australia,9,Male,51,1956-11-27,Manufacturing,Affluent Customer,No,16.0,66.82917865414828,65-79
103,49.0,5,913.3199999999999,2,2,1,221,Silver,68 Little Fleur Crossing,2046,NSW,Australia,12,Female,49,1997-04-21,Financial Services,Affluent Customer,Yes,4.0,26.431360766032853,20-34
104,64.0,9,3550.2600000000007,2,4,3,243,Silver,85688 New Castle Crossing,4171,QLD,Australia,10,Female,40,1978-06-06,Health,Mass Customer,Yes,9.0,45.30649167221162,35-49
105,89.0,4,3475.04,1,1,3,113,Bronze,8611 Loomis Lane,2155,NSW,Australia,10,Female,25,2001-09-17,Manufacturing,Mass Customer,No,1.0,22.023330484781354,20-34
106,1.0,3,2513.69,4,1,2,412,Platinum,7909 Pierstorff Crossing,2517,NSW,Australia,9,Male,54,1966-07-03,Health,High Net Worth,Yes,18.0,57.23281459465356,50-64
107,81.0,4,2343.9700000000003,2,1,2,212,Silver,01 Muir Parkway,2096,NSW,Australia,12,Female,97,1990-07-01,Financial Services,Mass Customer,Yes,9.0,33.237797585406284,20-34
110,14.0,7,2621.55,4,3,2,432,Platinum,5 Moose Road,3977,VIC,Australia,8,Male,23,2000-07-31,Financial Services,Affluent Customer,No,1.0,23.154086078667607,20-34
112,47.0,6,5742.19,2,2,4,224,Silver,0 David Terrace,3204,VIC,Australia,11,Female,88,1975-08-12,Retail,High Net Worth,No,12.0,48.1237979824028,35-49
114,70.0,4,2195.26,2,1,2,212,Silver,60 Oneill Street,2170,NSW,Australia,9,Female,10,1985-10-23,Entertainment,Affluent Customer,No,8.0,37.925094381370606,35-49
115,14.0,8,3135.87,4,4,3,443,Platinum,8194 Sachtjen Drive,3844,VIC,Australia,1,Male,77,1981-12-21,Health,Mass Customer,No,18.0,41.7636400051685,35-49
116,12.0,8,2447.5400000000004,4,4,2,442,Platinum,0349 Farmco Terrace,2168,NSW,Australia,8,Male,49,1999-02-05,Manufacturing,Affluent Customer,Yes,2.0,24.63803167645538,20-34
117,5.0,10,6917.34,4,4,4,444,Platinum,185 Pennsylvania Way,4226,QLD,Australia,6,Female,75,1982-02-23,Manufacturing,Mass Customer,No,15.0,41.58841395672123,35-49
120,129.0,3,1306.7800000000002,1,1,1,111,Bronze,7 Carberry Crossing,2485,NSW,Australia,2,Male,80,1978-09-02,Financial Services,High Net Worth,Yes,4.0,45.065555855596635,35-49
121,111.0,4,2892.0899999999997,1,1,3,113,Bronze,53 Talisman Trail,2097,NSW,Australia,9,Male,82,1957-10-02,Manufacturing,Mass Customer,No,15.0,65.98316538898884,65-79
122,8.0,5,2695.2200000000003,4,2,2,422,Platinum,5 Prairie Rose Road,4817,QLD,Australia,2,Male,87,1979-04-19,Financial Services,Mass Customer,Yes,12.0,44.438575150996265,35-49
123,191.0,4,3245.75,1,1,3,113,Bronze,84 Florence Parkway,2516,NSW,Australia,8,Female,85,1988-12-03,Financial Services,High Net Worth,No,15.0,34.812094114424674,35-49
124,2.0,7,4054.25,4,3,3,433,Platinum,739 Elmside Way,3074,VIC,Australia,8,Female,27,1995-05-03,Health,High Net Worth,Yes,5.0,28.39991590405759,20-34
125,83.0,10,3345.01,2,4,3,243,Silver,684 Northport Circle,2213,NSW,Australia,10,Female,94,1960-03-17,Property,Mass Customer,No,16.0,63.52726280372014,50-64
126,11.0,3,1096.46,4,1,1,411,Gold,8 Hagan Hill,4508,QLD,Australia,4,Male,53,1992-10-15,Health,Mass Customer,Yes,3.0,30.946169420556902,20-34
127,23.0,10,3993.71,3,4,3,343,Gold,0 Pearson Crossing,4405,QLD,Australia,1,Female,81,1974-12-03,Financial Services,Mass Customer,No,19.0,48.8137505481639,35-49
128,137.0,4,2193.06,1,1,2,112,Bronze,10918 Merry Way,2452,NSW,Australia,5,Male,73,1977-07-17,Property,Mass Customer,Yes,12.0,46.1935735424759,35-49
129,178.0,4,2753.75,1,1,2,112,Bronze,97 Coolidge Trail,2142,NSW,Australia,9,Male,64,1985-07-20,Financial Services,High Net Worth,Yes,19.0,38.18519554703452,35-49
130,76.0,2,1779.58,2,1,1,211,Bronze,58 Helena Hill,2205,NSW,Australia,7,Male,32,1997-07-18,Manufacturing,Mass Customer,No,1.0,26.190424949417864,20-34
131,205.0,6,5494.91,1,2,4,124,Bronze,352 Forster Place,4132,QLD,Australia,3,Female,57,1964-10-16,Retail,High Net Worth,No,8.0,58.94400647402138,50-64
132,7.0,6,2780.7200000000003,4,2,2,422,Platinum,12306 Lawn Street,2145,NSW,Australia,8,Female,5,1963-07-07,Manufacturing,Mass Customer,Yes,9.0,60.222609046285015,50-64
133,26.0,5,803.8900000000001,3,2,1,321,Gold,19392 7th Trail,4744,QLD,Australia,1,Male,12,1977-06-13,Financial Services,Mass Customer,Yes,16.0,46.28666238071351,35-49
134,14.0,6,2946.42,4,2,3,423,Platinum,1605 Northfield Junction,2158,NSW,Australia,11,Female,34,1997-08-01,Telecommunications,Affluent Customer,Yes,5.0,26.152094251320026,20-34
135,115.0,7,4549.5,1,3,4,134,Bronze,9674 Graceland Junction,3201,VIC,Australia,6,Female,18,1975-01-18,IT,Mass Customer,No,3.0,48.68780682584243,35-49
136,20.0,8,3543.2000000000003,3,4,3,343,Gold,638 Thackeray Junction,4178,QLD,Australia,3,Male,46,1973-05-26,Manufacturing,High Net Worth,Yes,7.0,50.33602684404951,50-64
137,27.0,5,1496.4499999999998,3,2,1,321,Gold,869 Forster Circle,2112,NSW,Australia,10,Male,27,1987-11-21,Property,High Net Worth,No,10.0,35.84702296306633,35-49
138,64.0,7,3377.12,2,3,3,233,Silver,0 Golden Leaf Crossing,2033,NSW,Australia,9,Male,5,1985-04-28,Financial Services,Affluent Customer,Yes,13.0,38.41244182861456,35-49
139,26.0,9,5161.44,3,4,4,344,Gold,215 Lindbergh Trail,4401,QLD,Australia,1,Male,1,1964-07-28,Telecommunications,Affluent Customer,No,4.0,59.163039034580464,50-64
140,3.0,6,2699.9,4,2,2,422,Platinum,829 Washington Crossing,3186,VIC,Australia,9,Male,9,1994-05-20,Manufacturing,Mass Customer,No,2.0,29.35270754248959,20-34
141,159.0,3,2138.3500000000004,1,1,2,112,Bronze,585 Loomis Court,2097,NSW,Australia,11,Male,67,1954-06-25,Financial Services,High Net Worth,Yes,10.0,69.2549642623401,65-79
142,4.0,11,3917.3399999999997,4,4,3,443,Platinum,68063 Blue Bill Park Center,3058,VIC,Australia,9,Male,57,1967-08-07,Health,Affluent Customer,No,17.0,56.13765179185816,50-64
143,13.0,4,2474.77,4,1,2,412,Platinum,15673 Farmco Point,4017,QLD,Australia,6,Male,19,1957-09-01,Argiculture,Mass Customer,Yes,11.0,66.06804050620548,65-79
145,28.0,7,3140.3,3,3,3,333,Gold,7245 Cottonwood Center,2285,NSW,Australia,5,Male,33,1997-07-21,Financial Services,Mass Customer,No,4.0,26.1822112283969,20-34
146,194.0,2,217.05999999999995,1,1,1,111,Bronze,20382 Spohn Alley,2219,NSW,Australia,11,Male,34,1985-04-08,Manufacturing,Mass Customer,No,8.0,38.46719996875433,35-49
147,34.0,6,5034.16,3,2,4,324,Gold,12375 Cambridge Pass,2065,NSW,Australia,11,Female,32,1973-12-06,Health,Mass Customer,Yes,10.0,49.804872884693744,50-64
149,18.0,6,2204.4799999999996,3,2,2,322,Gold,939 Coleman Pass,4509,QLD,Australia,7,Female,41,1995-01-31,Health,Mass Customer,Yes,1.0,28.651803348700533,20-34
150,75.0,4,2446.51,2,1,2,212,Silver,69914 Bowman Place,2330,NSW,Australia,7,Male,6,1983-08-23,Financial Services,Affluent Customer,No,17.0,40.093516730905506,35-49
151,0.0,8,5665.410000000001,4,4,4,444,Platinum,34457 Springview Street,2759,NSW,Australia,9,Male,36,1965-01-31,Manufacturing,Mass Customer,Yes,13.0,58.65105042427361,50-64
152,158.0,2,1966.88,1,1,2,112,Bronze,992 Old Shore Trail,2069,NSW,Australia,12,Female,5,1981-03-03,Financial Services,Mass Customer,No,16.0,42.565846758216125,35-49
153,64.0,7,5522.509999999999,2,3,4,234,Silver,453 Sheridan Street,2747,NSW,Australia,8,Female,73,1977-07-28,Entertainment,Mass Customer,Yes,12.0,46.163456565399024,35-49
155,8.0,3,1088.42,4,1,1,411,Gold,63344 Holmberg Crossing,2025,NSW,Australia,10,Male,4,1985-12-28,Manufacturing,Mass Customer,No,10.0,37.744392518909365,35-49
156,16.0,5,3095.3699999999994,4,2,3,423,Platinum,9 Huxley Circle,3191,VIC,Australia,11,Female,23,1979-09-09,Financial Services,Mass Customer,Yes,11.0,44.04705444899691,35-49
157,135.0,4,492.2299999999999,1,1,1,111,Bronze,0 Hazelcrest Road,3025,VIC,Australia,8,Male,97,1974-11-23,Financial Services,Affluent Customer,No,16.0,48.841129618233786,35-49
159,66.0,6,2935.3700000000003,2,2,3,223,Silver,80 Duke Terrace,2233,NSW,Australia,10,Male,90,1987-05-12,Health,Affluent Customer,No,13.0,36.37543901541511,35-49
160,93.0,2,2614.1600000000003,1,1,2,112,Bronze,860 Hintze Lane,2154,NSW,Australia,11,Male,5,1964-07-15,Health,Mass Customer,No,18.0,59.19863182567131,50-64
162,98.0,3,1329.61,1,1,1,111,Bronze,5 Corry Court,2119,NSW,Australia,10,Male,90,1979-08-12,IT,Mass Customer,No,15.0,44.12371584519259,35-49
163,114.0,2,1101.28,1,1,1,111,Bronze,65105 Sommers Pass,3016,VIC,Australia,10,Female,58,1976-09-06,Entertainment,High Net Worth,Yes,14.0,47.053276342670294,35-49
164,198.0,3,786.1400000000001,1,1,1,111,Bronze,2054 Sommers Pass,4113,QLD,Australia,4,Female,55,1999-08-07,Retail,Affluent Customer,Yes,1.0,24.136994694176483,20-34
165,8.0,9,6182.52,4,4,4,444,Platinum,22371 Miller Trail,2032,NSW,Australia,10,Male,61,1984-03-25,Argiculture,Mass Customer,Yes,12.0,39.50486672440297,35-49
166,63.0,8,4197.44,2,4,4,244,Silver,35807 Oneill Way,4300,QLD,Australia,4,Male,54,1955-06-12,Manufacturing,Affluent Customer,No,6.0,68.29122099588015,65-79
167,14.0,9,5993.34,4,4,4,444,Platinum,75612 Clarendon Junction,4352,QLD,Australia,6,Female,95,1969-10-27,Health,High Net Worth,Yes,17.0,53.91447130218349,50-64
169,61.0,3,696.26,2,1,1,211,Bronze,93 Iowa Junction,2116,NSW,Australia,9,Male,20,1957-10-19,Telecommunications,High Net Worth,Yes,5.0,65.93662096987003,65-79
170,100.0,4,1820.81,1,1,1,111,Bronze,48 Cascade Terrace,3057,VIC,Australia,8,Male,80,1975-06-02,Health,High Net Worth,No,21.0,48.31818937989898,35-49
171,18.0,9,4833.14,3,4,4,344,Gold,13950 Jackson Avenue,2099,NSW,Australia,11,Female,62,1970-12-04,Manufacturing,Mass Customer,No,10.0,52.81109477836712,50-64
172,11.0,8,2348.66,4,4,2,442,Platinum,35386 Mockingbird Road,3749,VIC,Australia,4,Male,54,1988-09-12,Manufacturing,Affluent Customer,Yes,6.0,35.03660248899773,35-49
173,15.0,9,6549.509999999999,4,4,4,444,Platinum,2 Randy Point,2766,NSW,Australia,8,Female,99,1997-01-02,Health,Affluent Customer,No,1.0,26.7297926297946,20-34
174,11.0,10,7628.24,4,4,4,444,Platinum,6898 Redwing Park,2148,NSW,Australia,9,Female,93,1989-11-26,Health,Mass Customer,No,12.0,33.83192340592279,20-34
175,64.0,5,2170.54,2,2,2,222,Silver,52273 Bay Place,3145,VIC,Australia,11,Male,36,1975-11-28,Manufacturing,Affluent Customer,No,5.0,47.82810402564804,35-49
176,22.0,5,3090.0699999999997,3,2,3,323,Gold,272 Montana Avenue,2021,NSW,Australia,8,Male,39,1992-04-13,Property,Mass Customer,No,10.0,31.452682216849777,20-34
177,37.0,12,4108.599999999999,3,4,3,343,Gold,82520 Mifflin Drive,2333,NSW,Australia,5,Female,25,1989-11-09,Financial Services,High Net Worth,No,4.0,33.8784678250416,20-34
179,40.0,3,1814.59,3,1,1,311,Silver,4 Dayton Terrace,2280,NSW,Australia,9,Male,23,1966-05-11,Manufacturing,High Net Worth,Yes,6.0,57.37792366602395,50-64
180,11.0,7,4065.35,4,3,3,433,Platinum,216 Barnett Junction,4120,QLD,Australia,8,Female,16,1971-09-17,Argiculture,Affluent Customer,No,14.0,52.02531546736142,50-64
181,50.0,6,2365.24,2,2,2,222,Silver,8256 Annamark Court,3638,VIC,Australia,1,Female,49,1982-11-21,Manufacturing,Mass Customer,No,9.0,40.84644115782734,35-49
182,13.0,7,5409.120000000001,4,3,4,434,Platinum,83012 Dapin Lane,4300,QLD,Australia,4,Male,99,1992-11-20,Financial Services,Affluent Customer,Yes,7.0,30.847604768305317,20-34
183,102.0,6,3187.84,1,2,3,123,Bronze,8 Haas Park,2074,NSW,Australia,10,Female,7,1997-08-05,Retail,Affluent Customer,No,3.0,26.14114262329207,20-34
